mes,nombre_mes,trimestre,canal,region,campana,inversion,ingresos,visitas,clientes_nuevos,ticket_promedio,tasa_conversion,roas,satisfaccion
2025-02,Feb,T1,Instagram,Costa,Regreso a clases,10659473.0,37238198.0,11782,292,127178.0,2.48,3.49,4.36
2025-02,Feb,T1,TikTok,Bogotá,Regreso a clases,19769097.0,62231156.0,40868,742,83822.0,1.82,3.15,4.15
2025-02,Feb,T1,TikTok,Medellín,Regreso a clases,12475158.0,43872126.0,30532,393,111483.0,1.29,3.52,3.53
2025-02,Feb,T1,TikTok,Cali,Regreso a clases,9117058.0,25475150.0,30711,250,101822.0,0.81,2.79,3.74
2025-02,Feb,T1,TikTok,Costa,Regreso a clases,8399401.0,32469881.0,28503,286,113492.0,1.0,3.87,3.04
2025-02,Feb,T1,Google Ads,Bogotá,Regreso a clases,18439958.0,55701241.0,12443,409,136091.0,3.29,3.02,3.77
2025-02,Feb,T1,Google Ads,Medellín,Regreso a clases,8281129.0,38524933.0,8531,272,141617.0,3.19,4.65,4.17
2025-02,Feb,T1,Google Ads,Cali,Regreso a clases,6644147.0,24374152.0,6365,182,133741.0,2.86,3.67,4.4
2025-02,Feb,T1,Google Ads,Costa,Regreso a clases,5808402.0,20623427.0,5619,191,107965.0,3.4,3.55,4.36
2025-02,Feb,T1,Email,Bogotá,Regreso a clases,2522424.0,28011390.0,3079,167,167277.0,5.42,11.1,5.0
2025-02,Feb,T1,Email,Medellín,Regreso a clases,1689165.0,16779834.0,1853,101,164918.0,5.45,9.93,4.89
2025-02,Feb,T1,Email,Cali,Regreso a clases,1538946.0,15103250.0,1613,102,147891.0,6.32,9.81,4.1
2025-02,Feb,T1,Email,Costa,Regreso a clases,1045913.0,10755985.0,1220,71,150879.0,5.82,10.28,5.0
2025-02,Feb,T1,Punto de venta,Bogotá,Regreso a clases,13174877.0,86268961.0,5117,461,186839.0,9.01,6.55,4.86
2025-02,Feb,T1,Punto de venta,Medellín,Regreso a clases,8973925.0,59366841.0,4435,346,171550.0,7.8,6.62,4.8
2025-02,Feb,T1,Punto de venta,Cali,Regreso a clases,7275024.0,43626465.0,2519,237,183337.0,9.41,6.0,4.67
2025-02,Feb,T1,Punto de venta,Costa,Regreso a clases,6065485.0,32737684.0,1961,183,178446.0,9.33,5.4,4.65
2025-03,Mar,T1,Instagram,Bogotá,Siempre activa,18461755.0,79871111.0,31158,674,118433.0,2.16,4.33,4.29
2025-03,Mar,T1,Instagram,Medellín,Siempre activa,15407984.0,58811060.0,19579,461,127437.0,2.35,3.82,4.24
2025-03,Mar,T1,Instagram,Cali,Siempre activa,9658462.0,41560621.0,19341,323,128368.0,1.67,4.3,4.22
2025-03,Mar,T1,Instagram,Costa,Siempre activa,10226953.0,38211364.0,23318,345,110569.0,1.48,3.74,3.81
2025-03,Mar,T1,TikTok,Bogotá,Siempre activa,19309678.0,59104708.0,58555,693,85280.0,1.18,3.06,4.03
2025-03,Mar,T1,TikTok,Medellín,Siempre activa,15507799.0,46509408.0,58898,558,83337.0,0.95,3.0,3.83
2025-03,Mar,T1,TikTok,Cali,Siempre activa,8646757.0,37117304.0,16874,336,110410.0,1.99,4.29,4.63
2025-03,Mar,T1,TikTok,Costa,Siempre activa,7821525.0,29488254.0,18296,291,101133.0,1.59,3.77,4.64
2025-03,Mar,T1,Google Ads,Bogotá,Siempre activa,16054220.0,69653668.0,17702,487,142838.0,2.75,4.34,3.71
2025-03,Mar,T1,Google Ads,Medellín,Siempre activa,11060412.0,41569476.0,11077,349,119033.0,3.15,3.76,4.23
2025-03,Mar,T1,Google Ads,Cali,Siempre activa,9067428.0,33919220.0,8025,257,131769.0,3.2,3.74,4.16
2025-03,Mar,T1,Google Ads,Costa,Siempre activa,5755329.0,24508032.0,4282,151,161284.0,3.53,4.26,3.59
2025-03,Mar,T1,Email,Bogotá,Siempre activa,3571275.0,30459066.0,3743,227,134049.0,6.06,8.53,4.43
2025-03,Mar,T1,Email,Medellín,Siempre activa,2339708.0,19541016.0,2352,138,140773.0,5.87,8.35,4.41
2025-03,Mar,T1,Email,Cali,Siempre activa,1711921.0,17697607.0,1937,116,151929.0,5.99,10.34,4.35
2025-03,Mar,T1,Email,Costa,Siempre activa,1487265.0,13928784.0,1540,83,167529.0,5.39,9.37,4.8
2025-03,Mar,T1,Punto de venta,Bogotá,Siempre activa,16460361.0,102377734.0,6616,578,177059.0,8.74,6.22,5.0
2025-03,Mar,T1,Punto de venta,Medellín,Siempre activa,10772453.0,67809918.0,4092,388,174689.0,9.48,6.29,4.37
2025-03,Mar,T1,Punto de venta,Cali,Siempre activa,8982145.0,51126663.0,3145,284,179968.0,9.03,5.69,4.91
2025-03,Mar,T1,Punto de venta,Costa,Siempre activa,6797796.0,43151121.0,2130,205,209531.0,9.62,6.35,4.69
2025-04,Abr,T2,Instagram,Bogotá,Siempre activa,23584215.0,83215977.0,23167,635,131011.0,2.74,3.53,4.22
2025-04,Abr,T2,Instagram,Medellín,Siempre activa,16291263.0,65788147.0,36982,680,96723.0,1.84,4.04,3.83
2025-04,Abr,T2,Instagram,Cali,Siempre activa,10034032.0,44599661.0,20165,417,106852.0,2.07,4.44,4.27
2025-04,Abr,T2,Instagram,Costa,Siempre activa,10381916.0,37373594.0,12780,313,119046.0,2.45,3.6,3.99
2025-04,Abr,T2,TikTok,Bogotá,Siempre activa,20972067.0,69675720.0,61633,729,95479.0,1.18,3.32,3.78
2025-04,Abr,T2,TikTok,Medellín,Siempre activa,18005024.0,50464745.0,47704,561,89870.0,1.18,2.8,4.45
2025-04,Abr,T2,TikTok,Cali,Siempre activa,10765793.0,39310337.0,42716,407,96554.0,0.95,3.65,3.46
2025-04,Abr,T2,TikTok,Costa,Siempre activa,9199246.0,34629788.0,35691,406,85121.0,1.14,3.76,2.88
2025-04,Abr,T2,Google Ads,Bogotá,Siempre activa,14300319.0,56798913.0,11982,404,140336.0,3.37,3.97,3.99
2025-04,Abr,T2,Google Ads,Medellín,Siempre activa,9345782.0,39792023.0,13077,298,133371.0,2.28,4.26,4.46
2025-04,Abr,T2,Google Ads,Cali,Siempre activa,6440597.0,29345992.0,5363,188,155330.0,3.51,4.56,4.42
2025-04,Abr,T2,Google Ads,Costa,Siempre activa,10391993.0,33190276.0,7282,240,138046.0,3.3,3.19,3.76
2025-04,Abr,T2,Email,Bogotá,Siempre activa,3972010.0,36465509.0,4181,247,147225.0,5.91,9.18,4.76
2025-04,Abr,T2,Email,Medellín,Siempre activa,2196385.0,20141373.0,2371,124,162049.0,5.23,9.17,4.13
2025-04,Abr,T2,Email,Cali,Siempre activa,1700601.0,15749462.0,1560,102,154293.0,6.54,9.26,4.72
2025-04,Abr,T2,Email,Costa,Siempre activa,1592858.0,14935295.0,1490,89,166492.0,5.97,9.38,4.71
2025-04,Abr,T2,Punto de venta,Bogotá,Siempre activa,18656803.0,105326948.0,7706,716,146966.0,9.29,5.65,4.63
2025-04,Abr,T2,Punto de venta,Medellín,Siempre activa,11289508.0,66276717.0,4063,387,171209.0,9.52,5.87,4.81
2025-04,Abr,T2,Punto de venta,Cali,Siempre activa,11556017.0,57878844.0,3793,375,154216.0,9.89,5.01,4.81
2025-04,Abr,T2,Punto de venta,Costa,Siempre activa,8018078.0,48455982.0,3059,287,168310.0,9.38,6.04,4.27
2025-05,May,T2,Instagram,Bogotá,Día de la Madre,24191974.0,84410309.0,29980,706,119398.0,2.35,3.49,4.78
2025-05,May,T2,Instagram,Medellín,Día de la Madre,16002830.0,69770487.0,28166,504,138258.0,1.79,4.36,3.86
2025-05,May,T2,Instagram,Cali,Día de la Madre,12699104.0,51394250.0,18414,361,142279.0,1.96,4.05,4.66
2025-05,May,T2,Instagram,Costa,Día de la Madre,10353476.0,45247579.0,15476,358,126176.0,2.31,4.37,4.46
2025-05,May,T2,TikTok,Bogotá,Día de la Madre,20383027.0,85626672.0,73710,825,103772.0,1.12,4.2,4.08
2025-05,May,T2,TikTok,Medellín,Día de la Madre,16475428.0,56876394.0,43203,729,77947.0,1.69,3.45,4.94
2025-05,May,T2,TikTok,Cali,Día de la Madre,15001028.0,57032839.0,45228,702,81166.0,1.55,3.8,4.31
2025-05,May,T2,TikTok,Costa,Día de la Madre,12595245.0,43719395.0,57665,610,71668.0,1.06,3.47,3.25
2025-05,May,T2,Google Ads,Bogotá,Día de la Madre,19811668.0,80434337.0,17922,559,143696.0,3.12,4.06,3.59
2025-05,May,T2,Google Ads,Medellín,Día de la Madre,13933097.0,48068225.0,12072,389,123362.0,3.22,3.45,4.14
2025-05,May,T2,Google Ads,Cali,Día de la Madre,11036884.0,37240125.0,9430,302,123170.0,3.2,3.37,4.53
2025-05,May,T2,Google Ads,Costa,Día de la Madre,8242017.0,28340588.0,6790,213,133052.0,3.14,3.44,3.89
2025-05,May,T2,Email,Bogotá,Día de la Madre,4273262.0,41535631.0,5706,288,144175.0,5.05,9.72,4.34
2025-05,May,T2,Email,Medellín,Día de la Madre,2879321.0,27658822.0,4095,215,128208.0,5.25,9.61,4.44
2025-05,May,T2,Email,Cali,Día de la Madre,2234721.0,21403246.0,2167,135,157792.0,6.23,9.58,4.84
2025-05,May,T2,Email,Costa,Día de la Madre,1647255.0,16045786.0,2067,111,144511.0,5.37,9.74,4.61
2025-05,May,T2,Punto de venta,Bogotá,Día de la Madre,15088275.0,94956931.0,5536,534,177770.0,9.65,6.29,4.2
2025-05,May,T2,Punto de venta,Medellín,Día de la Madre,12670678.0,77684109.0,4487,404,191833.0,9.0,6.13,4.21
2025-05,May,T2,Punto de venta,Cali,Día de la Madre,10959975.0,62793018.0,4097,396,158468.0,9.67,5.73,4.75
2025-05,May,T2,Punto de venta,Costa,Día de la Madre,6648663.0,37853884.0,2458,235,160704.0,9.56,5.69,5.0
2025-06,Jun,T2,Instagram,Bogotá,Siempre activa,23490496.0,105434021.0,61001,1005,104848.0,1.65,4.49,3.87
2025-06,Jun,T2,Instagram,Medellín,Siempre activa,13355260.0,64051580.0,28757,674,94987.0,2.34,4.8,4.52
2025-06,Jun,T2,Instagram,Cali,Siempre activa,8584318.0,50475169.0,19167,405,124423.0,2.11,5.88,4.41
2025-06,Jun,T2,Instagram,Costa,Siempre activa,11684285.0,40841300.0,12922,331,123066.0,2.56,3.5,4.12
2025-06,Jun,T2,TikTok,Bogotá,Siempre activa,29107840.0,92950777.0,56059,833,111577.0,1.49,3.19,4.09
2025-06,Jun,T2,TikTok,Medellín,Siempre activa,23812406.0,63254253.0,32955,704,89814.0,2.14,2.66,3.91
2025-06,Jun,T2,TikTok,Cali,Siempre activa,13718874.0,53314974.0,45158,760,70067.0,1.68,3.89,3.52
2025-06,Jun,T2,TikTok,Costa,Siempre activa,13368022.0,42395603.0,33463,459,92261.0,1.37,3.17,3.98
2025-06,Jun,T2,Google Ads,Bogotá,Siempre activa,19304412.0,59012900.0,13458,480,122881.0,3.57,3.06,4.7
2025-06,Jun,T2,Google Ads,Medellín,Siempre activa,10155929.0,43297404.0,11116,295,146722.0,2.65,4.26,3.44
2025-06,Jun,T2,Google Ads,Cali,Siempre activa,12239382.0,33771254.0,9813,256,131730.0,2.61,2.76,3.88
2025-06,Jun,T2,Google Ads,Costa,Siempre activa,6774296.0,27679765.0,7917,217,127233.0,2.74,4.09,4.12
2025-06,Jun,T2,Email,Bogotá,Siempre activa,4047943.0,39552561.0,5105,298,132661.0,5.84,9.77,5.0
2025-06,Jun,T2,Email,Medellín,Siempre activa,2141851.0,21856236.0,2055,129,169321.0,6.28,10.2,4.77
2025-06,Jun,T2,Email,Cali,Siempre activa,1879097.0,17660932.0,1966,115,152657.0,5.85,9.4,4.55
2025-06,Jun,T2,Email,Costa,Siempre activa,1427362.0,13339769.0,1454,85,155513.0,5.85,9.35,4.29
2025-06,Jun,T2,Punto de venta,Bogotá,Siempre activa,17009570.0,104486475.0,6995,616,169495.0,8.81,6.14,4.33
2025-06,Jun,T2,Punto de venta,Medellín,Siempre activa,10944306.0,68572058.0,4736,458,149536.0,9.67,6.27,4.35
2025-06,Jun,T2,Punto de venta,Cali,Siempre activa,7248421.0,49384149.0,2906,262,187960.0,9.02,6.81,4.48
2025-06,Jun,T2,Punto de venta,Costa,Siempre activa,6294946.0,41847698.0,2476,226,184856.0,9.13,6.65,5.0
2025-07,Jul,T3,Instagram,Bogotá,Siempre activa,23370117.0,94227364.0,51664,743,126659.0,1.44,4.03,4.11
2025-07,Jul,T3,Instagram,Medellín,Siempre activa,14992097.0,61381653.0,19332,430,142599.0,2.22,4.09,4.33
2025-07,Jul,T3,Instagram,Cali,Siempre activa,10577924.0,42278713.0,12798,389,108598.0,3.04,4.0,4.05
2025-07,Jul,T3,Instagram,Costa,Siempre activa,8905110.0,42465748.0,21947,337,125880.0,1.54,4.77,4.42
2025-07,Jul,T3,TikTok,Bogotá,Siempre activa,27992300.0,92377219.0,65608,946,97572.0,1.44,3.3,3.42
2025-07,Jul,T3,TikTok,Medellín,Siempre activa,16662854.0,56843559.0,41408,669,84963.0,1.62,3.41,4.25
2025-07,Jul,T3,TikTok,Cali,Siempre activa,15362351.0,49083128.0,31065,452,108354.0,1.46,3.2,4.02
2025-07,Jul,T3,TikTok,Costa,Siempre activa,11900216.0,39036200.0,22091,375,103977.0,1.7,3.28,3.83
2025-07,Jul,T3,Google Ads,Bogotá,Siempre activa,15189414.0,59382045.0,15355,480,123706.0,3.13,3.91,3.92
2025-07,Jul,T3,Google Ads,Medellín,Siempre activa,9222899.0,35818926.0,10250,268,133274.0,2.61,3.88,3.82
2025-07,Jul,T3,Google Ads,Cali,Siempre activa,14698089.0,32481612.0,7137,236,137208.0,3.31,2.21,4.33
2025-07,Jul,T3,Google Ads,Costa,Siempre activa,8984697.0,27111232.0,7169,190,142539.0,2.65,3.02,4.29
2025-07,Jul,T3,Email,Bogotá,Siempre activa,3112955.0,27840106.0,2784,174,159532.0,6.25,8.94,4.35
2025-07,Jul,T3,Email,Medellín,Siempre activa,2332333.0,19991165.0,2058,120,165974.0,5.83,8.57,4.3
2025-07,Jul,T3,Email,Cali,Siempre activa,2116306.0,18280466.0,2085,121,149945.0,5.8,8.64,4.3
2025-07,Jul,T3,Email,Costa,Siempre activa,1152706.0,11172186.0,1144,71,155634.0,6.21,9.69,5.0
2025-07,Jul,T3,Punto de venta,Bogotá,Siempre activa,14384791.0,92227513.0,5550,520,177037.0,9.37,6.41,4.55
2025-07,Jul,T3,Punto de venta,Medellín,Siempre activa,9816052.0,66950284.0,4055,408,163811.0,10.06,6.82,4.78
2025-07,Jul,T3,Punto de venta,Cali,Siempre activa,10713485.0,53170798.0,3423,305,173872.0,8.91,4.96,4.8
2025-07,Jul,T3,Punto de venta,Costa,Siempre activa,7198671.0,49184446.0,3074,285,172003.0,9.27,6.83,4.75
2025-08,Ago,T3,Instagram,Bogotá,Siempre activa,19640531.0,75840550.0,29458,680,111487.0,2.31,3.86,4.04
2025-08,Ago,T3,Instagram,Medellín,Siempre activa,17225113.0,68796083.0,17942,536,128263.0,2.99,3.99,4.75
2025-08,Ago,T3,Instagram,Cali,Siempre activa,11836162.0,55980304.0,27459,492,113609.0,1.79,4.73,3.9
2025-08,Ago,T3,Instagram,Costa,Siempre activa,9353796.0,45930605.0,18360,420,109247.0,2.29,4.91,3.76
2025-08,Ago,T3,TikTok,Bogotá,Siempre activa,22190109.0,85913281.0,92024,1025,83759.0,1.11,3.87,4.59
2025-08,Ago,T3,TikTok,Medellín,Siempre activa,19832976.0,66946929.0,47888,750,89245.0,1.57,3.38,3.65
2025-08,Ago,T3,TikTok,Cali,Siempre activa,13383208.0,53501866.0,135127,606,88152.0,0.45,4.0,3.67
2025-08,Ago,T3,TikTok,Costa,Siempre activa,12397231.0,49793393.0,26180,516,96363.0,1.97,4.02,3.54
2025-08,Ago,T3,Google Ads,Bogotá,Siempre activa,17905157.0,70105373.0,23785,489,143112.0,2.06,3.92,4.41
2025-08,Ago,T3,Google Ads,Medellín,Siempre activa,9128048.0,44267168.0,11456,322,137258.0,2.81,4.85,3.82
2025-08,Ago,T3,Google Ads,Cali,Siempre activa,9057724.0,35952718.0,10170,282,127390.0,2.77,3.97,4.63
2025-08,Ago,T3,Google Ads,Costa,Siempre activa,7893735.0,29698723.0,6118,230,128600.0,3.76,3.76,4.49
2025-08,Ago,T3,Email,Bogotá,Siempre activa,2967416.0,28065468.0,2950,193,144935.0,6.54,9.46,4.56
2025-08,Ago,T3,Email,Medellín,Siempre activa,2230728.0,20777839.0,2227,127,162530.0,5.7,9.31,4.94
2025-08,Ago,T3,Email,Cali,Siempre activa,1772019.0,15630874.0,1598,90,172926.0,5.63,8.82,4.9
2025-08,Ago,T3,Email,Costa,Siempre activa,1839626.0,16102333.0,1855,108,148686.0,5.82,8.75,4.32
2025-08,Ago,T3,Punto de venta,Bogotá,Siempre activa,17380371.0,101903339.0,6071,589,172981.0,9.7,5.86,5.0
2025-08,Ago,T3,Punto de venta,Medellín,Siempre activa,10465166.0,63548830.0,4200,368,172479.0,8.76,6.07,4.93
2025-08,Ago,T3,Punto de venta,Cali,Siempre activa,8866090.0,57512223.0,3451,333,172677.0,9.65,6.49,4.94
2025-08,Ago,T3,Punto de venta,Costa,Siempre activa,8661174.0,52889066.0,3236,296,178192.0,9.15,6.11,4.49
2025-09,Sep,T3,Instagram,Bogotá,Siempre activa,25894700.0,106933611.0,39294,920,116156.0,2.34,4.13,4.43
2025-09,Sep,T3,Instagram,Medellín,Siempre activa,16871161.0,63161669.0,21597,499,126548.0,2.31,3.74,4.13
2025-09,Sep,T3,Instagram,Cali,Siempre activa,14842174.0,60043795.0,35529,633,94824.0,1.78,4.05,3.68
2025-09,Sep,T3,Instagram,Costa,Siempre activa,11951897.0,52323815.0,37341,438,119424.0,1.17,4.38,3.68
2025-09,Sep,T3,TikTok,Bogotá,Siempre activa,42729047.0,103442144.0,73666,1001,103302.0,1.36,2.42,3.85
2025-09,Sep,T3,TikTok,Medellín,Siempre activa,24990406.0,71907840.0,141131,904,79482.0,0.64,2.88,3.91
2025-09,Sep,T3,TikTok,Cali,Siempre activa,18343845.0,59971875.0,66017,676,88610.0,1.02,3.27,3.99
2025-09,Sep,T3,TikTok,Costa,Siempre activa,14128748.0,39455297.0,39194,469,84099.0,1.2,2.79,3.98
2025-09,Sep,T3,Google Ads,Bogotá,Siempre activa,16480380.0,64034638.0,11390,427,149949.0,3.75,3.89,4.33
2025-09,Sep,T3,Google Ads,Medellín,Siempre activa,10521350.0,49990122.0,13557,358,139445.0,2.64,4.75,4.45
2025-09,Sep,T3,Google Ads,Cali,Siempre activa,6785376.0,32732786.0,7017,210,155701.0,2.99,4.82,3.72
2025-09,Sep,T3,Google Ads,Costa,Siempre activa,7839179.0,29508278.0,7243,196,150375.0,2.71,3.76,4.41
2025-09,Sep,T3,Email,Bogotá,Siempre activa,2523056.0,25653257.0,2806,165,155256.0,5.88,10.17,4.36
2025-09,Sep,T3,Email,Medellín,Siempre activa,2429121.0,23572727.0,2613,133,176255.0,5.09,9.7,4.08
2025-09,Sep,T3,Email,Cali,Siempre activa,1544885.0,15286296.0,1653,112,135749.0,6.78,9.89,4.43
2025-09,Sep,T3,Email,Costa,Siempre activa,1883574.0,16892871.0,1752,106,158356.0,6.05,8.97,4.15
2025-09,Sep,T3,Punto de venta,Bogotá,Siempre activa,14243586.0,100510692.0,5570,531,189197.0,9.53,7.06,5.0
2025-09,Sep,T3,Punto de venta,Medellín,Siempre activa,9178242.0,58375259.0,3485,344,169424.0,9.87,6.36,4.99
2025-09,Sep,T3,Punto de venta,Cali,Siempre activa,10656741.0,62573368.0,3555,346,180739.0,9.73,5.87,5.0
2025-09,Sep,T3,Punto de venta,Costa,Siempre activa,7796338.0,45407578.0,2596,256,176942.0,9.86,5.82,4.82
2025-10,Oct,T4,Instagram,Bogotá,Siempre activa,39408005.0,119254296.0,45183,1039,114740.0,2.3,3.03,4.29
2025-10,Oct,T4,Instagram,Medellín,Siempre activa,12905292.0,60725639.0,25974,497,122144.0,1.91,4.71,4.62
2025-10,Oct,T4,Instagram,Cali,Siempre activa,12945098.0,49434380.0,17063,384,128608.0,2.25,3.82,4.12
2025-10,Oct,T4,Instagram,Costa,Siempre activa,12720192.0,50518895.0,19865,393,128407.0,1.98,3.97,4.44
2025-10,Oct,T4,TikTok,Bogotá,Siempre activa,23339730.0,95136957.0,49004,784,121299.0,1.6,4.08,3.87
2025-10,Oct,T4,TikTok,Medellín,Siempre activa,20316649.0,76895925.0,85127,913,84198.0,1.07,3.78,3.15
2025-10,Oct,T4,TikTok,Cali,Siempre activa,20382496.0,66040221.0,52892,740,89168.0,1.4,3.24,3.65
2025-10,Oct,T4,TikTok,Costa,Siempre activa,20492903.0,57503963.0,49245,634,90615.0,1.29,2.81,3.3
2025-10,Oct,T4,Google Ads,Bogotá,Siempre activa,17799870.0,61839058.0,14589,482,128251.0,3.3,3.47,3.96
2025-10,Oct,T4,Google Ads,Medellín,Siempre activa,13327719.0,47648640.0,14536,458,103918.0,3.15,3.58,3.81
2025-10,Oct,T4,Google Ads,Cali,Siempre activa,11171400.0,37744327.0,8297,264,142868.0,3.18,3.38,4.35
2025-10,Oct,T4,Google Ads,Costa,Siempre activa,10281323.0,35864823.0,7504,247,144783.0,3.29,3.49,3.73
2025-10,Oct,T4,Email,Bogotá,Siempre activa,3423586.0,32701198.0,3356,190,171239.0,5.66,9.55,4.95
2025-10,Oct,T4,Email,Medellín,Siempre activa,2923005.0,24369557.0,2800,169,143573.0,6.04,8.34,3.89
2025-10,Oct,T4,Email,Cali,Siempre activa,1853109.0,19013716.0,1948,124,152782.0,6.37,10.26,4.86
2025-10,Oct,T4,Email,Costa,Siempre activa,1674012.0,15872404.0,1672,100,158175.0,5.98,9.48,3.85
2025-10,Oct,T4,Punto de venta,Bogotá,Siempre activa,20391671.0,107662111.0,6871,633,169858.0,9.21,5.28,3.96
2025-10,Oct,T4,Punto de venta,Medellín,Siempre activa,11147840.0,66675796.0,3807,333,199924.0,8.75,5.98,4.64
2025-10,Oct,T4,Punto de venta,Cali,Siempre activa,9233775.0,55344721.0,3151,297,185822.0,9.43,5.99,4.75
2025-10,Oct,T4,Punto de venta,Costa,Siempre activa,8436728.0,54978148.0,3924,371,148061.0,9.45,6.52,4.57
2025-11,Nov,T4,Instagram,Bogotá,Black Friday,31414482.0,143250269.0,48986,1164,122988.0,2.38,4.56,3.79
2025-11,Nov,T4,Instagram,Medellín,Black Friday,24561379.0,99225559.0,32365,848,116962.0,2.62,4.04,4.03
2025-11,Nov,T4,Instagram,Cali,Black Friday,21236554.0,71727261.0,24759,626,114453.0,2.53,3.38,3.62
2025-11,Nov,T4,Instagram,Costa,Black Friday,25222409.0,68276583.0,27340,622,109717.0,2.28,2.71,4.01
2025-11,Nov,T4,TikTok,Bogotá,Black Friday,44043584.0,140828099.0,67859,1355,103869.0,2.0,3.2,4.43
2025-11,Nov,T4,TikTok,Medellín,Black Friday,32123849.0,115591842.0,118726,1113,103830.0,0.94,3.6,3.56
2025-11,Nov,T4,TikTok,Cali,Black Friday,25123240.0,97250813.0,63678,948,102501.0,1.49,3.87,3.61
2025-11,Nov,T4,TikTok,Costa,Black Friday,17575042.0,68822560.0,68816,655,104994.0,0.95,3.92,3.64
2025-11,Nov,T4,Google Ads,Bogotá,Black Friday,20648349.0,88396631.0,23608,675,130914.0,2.86,4.28,4.45
2025-11,Nov,T4,Google Ads,Medellín,Black Friday,18969477.0,64840698.0,13995,510,127088.0,3.64,3.42,3.65
2025-11,Nov,T4,Google Ads,Cali,Black Friday,11842710.0,47928860.0,9771,349,136973.0,3.57,4.05,3.5
2025-11,Nov,T4,Google Ads,Costa,Black Friday,10878794.0,43141372.0,9035,310,139003.0,3.43,3.97,3.69
2025-11,Nov,T4,Email,Bogotá,Black Friday,4845308.0,47240413.0,5207,290,162728.0,5.57,9.75,4.46
2025-11,Nov,T4,Email,Medellín,Black Friday,3401097.0,32282026.0,3425,203,158344.0,5.93,9.49,3.83
2025-11,Nov,T4,Email,Cali,Black Friday,2297880.0,22705722.0,2611,151,150137.0,5.78,9.88,4.39
2025-11,Nov,T4,Email,Costa,Black Friday,1741164.0,17311298.0,2060,123,139751.0,5.97,9.94,4.35
2025-11,Nov,T4,Punto de venta,Bogotá,Black Friday,21749751.0,135647311.0,7698,741,183044.0,9.63,6.24,4.45
2025-11,Nov,T4,Punto de venta,Medellín,Black Friday,16601913.0,95084369.0,6270,607,156462.0,9.68,5.73,4.22
2025-11,Nov,T4,Punto de venta,Cali,Black Friday,11250504.0,72100791.0,4804,456,157828.0,9.49,6.41,4.3
2025-11,Nov,T4,Punto de venta,Costa,Black Friday,10313380.0,60649200.0,3938,370,163787.0,9.4,5.88,5.0
